home_team,away_team,home_possession,away_possession,home_xg,away_xg,home_shots_per_ninety,away_shots_per_ninety,home_pass_accuracy,away_pass_accuracy,home_form,away_form,h2h_home_win_rate,h2h_draw_rate,h2h_away_win_rate,home_injuries,away_injuries,home_advantage,goal_difference_average,result
Chelsea,Man City,60.2,39.8,1.06,0.61,9.4,14.6,82.9,81.0,0.87,0.72,0.22,0.28,0.5,4,1,1.22,1.16,H 
Wolves,Brighton,51.5,48.5,1.14,2.21,18.6,7.1,80.5,74.1,1.27,2.26,0.15,0.21,0.64,2,2,1.1,1.63,A
Everton,Burnley,41.7,58.3,2.62,0.47,12.1,13.2,89.7,76.0,1.22,0.66,0.43,0.33,0.24,0,1,1.37,-0.29,H
Everton,Fulham,42.9,57.1,1.32,1.77,17.8,13.9,73.4,82.0,1.98,1.06,0.33,0.18,0.49,5,5,1.06,1.08,H
Arsenal,Brighton,62.7,37.3,2.35,1.18,8.9,16.9,83.3,83.8,1.27,1.65,0.54,0.29,0.17,1,2,0.64,1.35,H
Burnley,Aston Villa,60.4,39.6,1.49,1.58,13.1,18.0,74.8,78.9,2.46,2.48,0.18,0.15,0.67,5,3,1.1,-0.27,D
Luton,Everton,53.9,46.1,2.73,2.19,8.2,14.4,85.6,79.8,1.39,1.97,0.16,0.23,0.61,3,0,1.45,1.94,H
Aston Villa,Bournemouth,60.9,39.1,1.67,0.53,16.8,15.9,82.2,72.4,1.62,0.87,0.58,0.38,0.04,0,4,0.82,-1.91,H
Fulham,West Ham,45.2,54.8,1.05,1.55,9.1,14.5,88.3,89.5,1.97,0.79,0.43,0.38,0.19,1,2,1.03,0.73,D
Newcastle,Burnley,60.7,39.3,2.09,1.87,13.6,13.7,79.5,87.8,1.79,1.07,0.13,0.11,0.76,4,1,1.09,-1.97,H
Arsenal,Brighton,40.0,60.0,0.57,1.03,15.2,8.6,81.7,79.9,2.39,2.53,0.39,0.17,0.44,3,3,0.69,-1.56,A
Wolves,Fulham,50.7,49.3,1.57,1.9,17.4,17.8,74.0,76.9,1.55,2.48,0.22,0.16,0.62,3,1,0.92,-0.75,A
Brighton,Liverpool,51.3,48.7,2.48,1.51,8.7,18.0,88.7,89.3,2.84,2.45,0.18,0.25,0.57,1,3,1.4,-1.26,H
Man City,Crystal Palace,46.0,54.0,2.3,1.3,13.9,17.4,91.9,80.2,2.38,0.86,0.25,0.39,0.36,4,5,1.04,1.37,D
Arsenal,Luton,55.5,44.5,1.66,2.18,10.2,17.5,73.6,72.1,2.11,2.05,0.22,0.14,0.64,4,1,1.08,-1.82,A
Liverpool,Wolves,57.7,42.3,1.8,1.0,11.7,13.7,78.3,73.8,1.09,1.98,0.33,0.38,0.29,0,0,0.96,2.49,D
Chelsea,Liverpool,54.1,45.9,1.66,0.59,12.9,5.9,76.9,74.3,1.76,1.75,0.25,0.4,0.35,5,4,0.51,1.68,D
West Ham,Chelsea,66.2,33.8,0.81,0.55,9.5,12.2,77.4,81.3,2.38,0.97,0.42,0.18,0.4,3,2,1.41,1.81,H
Liverpool,Wolves,62.9,37.1,0.6,1.03,9.8,17.7,75.2,77.7,2.35,1.79,0.16,0.38,0.46,5,1,1.05,1.76,D
Sheffield United,Burnley,42.4,57.6,0.79,0.98,20.6,15.3,89.2,87.8,1.26,1.07,0.15,0.33,0.52,3,4,1.25,2.17,A
Brighton,Man United,67.3,32.7,2.36,2.24,8.3,14.6,78.6,88.5,2.56,2.49,0.51,0.18,0.31,5,0,0.88,-1.83,H
Nottm Forest,Brighton,44.0,56.0,2.61,1.07,19.5,16.3,76.5,82.5,1.68,1.14,0.13,0.33,0.54,2,5,1.01,1.06,H
Burnley,Brentford,66.2,33.8,0.77,2.43,10.5,17.5,77.3,70.4,1.76,2.18,0.26,0.28,0.46,4,0,0.89,0.59,A
Aston Villa,Arsenal,59.3,40.7,0.5,2.34,15.5,14.4,86.8,82.8,1.6,0.66,0.43,0.2,0.37,2,5,1.35,1.24,A
West Ham,Bournemouth,47.3,52.7,1.44,1.19,12.1,6.7,80.4,88.7,2.29,2.58,0.41,0.19,0.4,4,0,0.8,-1.05,A
Sheffield United,Brentford,51.9,48.1,1.52,0.77,14.6,16.7,87.9,71.7,0.99,1.69,0.42,0.2,0.38,1,5,0.81,1.63,H
Tottenham,Man City,39.4,60.6,2.76,1.64,18.8,10.9,89.7,80.7,2.38,1.38,0.3,0.14,0.56,5,0,1.39,1.87,D
Chelsea,Wolves,44.6,55.4,2.35,1.83,14.5,12.2,90.3,70.7,1.09,1.57,0.37,0.27,0.36,2,3,1.11,1.24,H
Bournemouth,Wolves,62.9,37.1,1.76,2.27,18.4,11.2,77.2,73.4,2.2,2.26,0.36,0.29,0.35,2,3,0.58,-0.71,D
Aston Villa,Brentford,47.6,52.4,1.74,0.6,11.2,14.0,86.1,69.4,1.7,1.75,0.31,0.16,0.53,3,3,1.4,0.63,H
Man City,Sheffield United,49.4,50.6,0.51,1.07,18.5,16.1,91.1,77.2,2.44,1.76,0.4,0.17,0.43,1,2,0.94,-1.87,A
Brentford,Crystal Palace,59.7,40.3,2.43,2.32,21.7,11.9,90.1,81.0,2.26,0.69,0.31,0.36,0.33,1,0,0.76,-0.53,H
Everton,Brentford,48.1,51.9,2.52,0.91,21.3,10.5,88.7,78.3,2.45,0.62,0.58,0.17,0.25,0,5,0.54,-1.86,H
Brighton,Newcastle,63.2,36.8,1.93,0.82,14.6,6.5,91.0,78.2,1.36,1.35,0.4,0.39,0.21,5,0,1.28,-1.26,D
West Ham,Chelsea,55.4,44.6,2.64,1.57,20.7,9.9,90.8,72.4,2.1,2.41,0.22,0.31,0.47,2,5,1.1,-1.46,H
Sheffield United,Arsenal,48.4,51.6,1.49,1.12,15.1,9.4,89.0,86.1,1.03,2.71,0.42,0.35,0.23,5,1,0.94,1.3,A
Aston Villa,Burnley,61.2,38.8,1.57,2.12,16.3,9.2,76.9,88.6,1.41,1.54,0.48,0.27,0.25,5,3,0.84,0.22,D
Brentford,Man United,52.6,47.4,1.32,0.87,11.9,12.8,89.6,80.2,1.94,0.94,0.22,0.22,0.56,4,1,1.19,0.91,A
Nottm Forest,Everton,61.8,38.2,0.71,0.79,17.7,9.0,83.6,78.4,1.97,1.48,0.47,0.2,0.33,5,3,0.77,-0.87,A
Chelsea,Newcastle,47.5,52.5,2.21,2.39,17.7,7.5,86.8,74.1,2.1,2.25,0.4,0.39,0.21,1,2,0.73,-1.19,D
Man City,Burnley,41.8,58.2,0.6,0.42,12.1,17.3,84.8,84.6,1.03,0.53,0.24,0.24,0.52,2,1,1.47,-0.86,H
Nottm Forest,Chelsea,62.7,37.3,1.42,0.46,16.8,5.7,75.0,80.4,1.47,2.79,0.16,0.33,0.51,4,4,1.29,-0.98,H
Bournemouth,Crystal Palace,51.5,48.5,1.52,2.19,21.9,9.0,84.4,81.4,2.43,2.68,0.2,0.16,0.64,5,0,0.66,-1.22,A
Liverpool,Man United,38.1,61.9,1.54,1.61,12.1,8.0,86.1,83.5,1.8,2.08,0.56,0.34,0.1,5,4,1.16,2.2,D
Wolves,Chelsea,54.3,45.7,1.99,2.3,19.6,5.9,75.3,74.8,2.45,1.81,0.24,0.14,0.62,5,2,1.2,2.24,A
Bournemouth,Burnley,52.8,47.2,0.69,0.39,14.0,9.2,77.0,70.0,2.92,2.42,0.39,0.39,0.22,5,2,1.08,1.43,D
Man United,Nottm Forest,53.6,46.4,1.52,0.91,22.0,10.7,88.3,89.3,1.83,1.44,0.26,0.13,0.61,1,2,0.91,0.23,D
Crystal Palace,Burnley,39.1,60.9,0.7,0.86,9.6,15.0,89.3,86.1,0.8,2.5,0.33,0.12,0.55,4,2,1.12,0.24,D
Everton,Arsenal,44.1,55.9,1.76,2.34,14.1,14.1,74.4,89.4,2.14,1.05,0.18,0.27,0.55,4,3,0.59,2.47,D
Chelsea,Everton,66.4,33.6,1.99,0.64,21.1,8.8,86.1,77.1,1.86,1.59,0.33,0.14,0.53,1,4,1.01,1.96,H
Liverpool,Aston Villa,61.2,38.8,2.47,1.05,19.0,8.5,72.1,84.0,2.64,1.83,0.43,0.36,0.21,3,4,0.98,-0.5,H
Burnley,Crystal Palace,51.7,48.3,1.24,0.72,17.8,12.4,76.7,85.1,0.9,2.21,0.45,0.34,0.21,3,5,1.29,0.93,D
Tottenham,Nottm Forest,66.9,33.1,0.79,2.42,12.6,6.3,88.9,70.2,2.8,0.54,0.17,0.36,0.47,1,0,0.97,2.36,D
Brentford,Crystal Palace,57.5,42.5,2.46,2.18,20.0,9.9,78.3,83.8,2.47,2.51,0.12,0.12,0.76,5,5,1.42,2.49,H
Liverpool,Wolves,67.4,32.6,2.25,1.85,9.4,7.2,78.0,68.6,1.51,0.63,0.28,0.23,0.49,1,4,0.91,1.07,H
Man United,Luton,43.3,56.7,1.9,1.14,17.6,11.5,83.7,73.1,2.2,1.56,0.43,0.37,0.2,3,2,1.18,-1.29,H
Everton,Fulham,67.6,32.4,1.19,2.42,17.7,10.9,78.0,90.0,2.68,0.75,0.29,0.21,0.5,2,5,0.8,2.4,H
