home_team,away_team,home_possession,away_possession,home_expected goals,away_expected goals,home_shots_per_ninety,away_shots_per_ninety,home_pass_accuracy,away_pass_accuracy,home_form,away_form,h2h_home_win_rate,h2h_draw_rate,h2h_away_win_rate,home_injuries,away_injuries,home_advantage,goal_difference_average,result
Arsenal,Chelsea,60,55,1.8,1.4,15,12,88,84,0.7,0.6,0.5,0.3,0.2,1,2,1,0.4,home_win
Arsenal,ManUtd,60,53,1.9,1.3,16,11,89,82,0.8,0.5,0.6,0.2,0.2,0,1,1,0.6,home_win
Arsenal,Liverpool,60,58,1.7,1.7,14,14,88,86,0.7,0.7,0.5,0.3,0.2,1,1,1,0.0,draw
Arsenal,ManCity,60,65,1.6,2.1,13,17,87,90,0.6,0.9,0.4,0.3,0.3,2,1,1,-0.5,away_win
Arsenal,Tottenham,60,52,2.0,1.2,16,10,89,83,0.8,0.6,0.6,0.2,0.2,1,2,1,0.8,home_win
Arsenal,Barcelona,60,64,1.7,1.9,14,16,88,89,0.7,0.8,0.4,0.4,0.2,1,1,1,-0.2,away_win
Arsenal,RealMadrid,60,63,1.6,1.8,13,15,87,88,0.7,0.8,0.4,0.3,0.3,1,1,1,-0.2,away_win
Arsenal,PSG,60,60,1.7,1.8,14,15,88,88,0.7,0.7,0.5,0.3,0.2,1,1,1,0.0,draw
Arsenal,Bayern,60,62,1.7,1.9,14,16,88,89,0.7,0.8,0.4,0.3,0.3,1,1,1,-0.2,away_win
Chelsea,ManUtd,55,53,1.4,1.3,12,11,84,82,0.6,0.5,0.4,0.4,0.2,2,1,1,0.1,draw
Chelsea,Liverpool,55,58,1.3,1.7,11,14,84,86,0.6,0.7,0.3,0.4,0.3,2,1,1,-0.3,away_win
Chelsea,ManCity,55,65,1.2,2.2,10,18,83,91,0.5,0.9,0.3,0.3,0.4,2,1,1,-1.0,away_win
Chelsea,Tottenham,55,52,1.5,1.2,13,10,85,83,0.6,0.6,0.5,0.3,0.2,1,2,1,0.3,home_win
Chelsea,Barcelona,55,64,1.3,1.9,11,16,84,89,0.6,0.8,0.3,0.4,0.3,2,1,1,-0.6,away_win
Chelsea,RealMadrid,55,63,1.3,1.8,11,15,84,88,0.6,0.8,0.4,0.3,0.3,1,1,1,-0.5,away_win
Chelsea,PSG,55,60,1.4,1.8,12,15,84,88,0.6,0.7,0.4,0.3,0.3,1,1,1,-0.4,away_win
Chelsea,Bayern,55,62,1.3,1.9,11,16,84,89,0.6,0.8,0.3,0.4,0.3,1,1,1,-0.6,away_win
ManUtd,Liverpool,53,58,1.3,1.7,11,14,82,86,0.5,0.7,0.3,0.3,0.4,1,1,1,-0.4,away_win
ManUtd,ManCity,53,65,1.2,2.2,10,18,82,91,0.5,0.9,0.3,0.3,0.4,2,1,1,-1.0,away_win
ManUtd,Tottenham,53,52,1.4,1.2,12,10,83,83,0.5,0.6,0.4,0.3,0.3,1,2,1,0.2,home_win
ManUtd,Barcelona,53,64,1.2,1.9,10,16,82,89,0.5,0.8,0.3,0.3,0.4,2,1,1,-0.7,away_win
ManUtd,RealMadrid,53,63,1.2,1.8,10,15,82,88,0.5,0.8,0.3,0.3,0.4,1,1,1,-0.6,away_win
ManUtd,PSG,53,60,1.3,1.8,11,15,82,88,0.5,0.7,0.3,0.3,0.4,1,1,1,-0.5,away_win
ManUtd,Bayern,53,62,1.2,1.9,10,16,82,89,0.5,0.8,0.3,0.3,0.4,1,1,1,-0.7,away_win
Liverpool,ManCity,58,65,1.7,2.1,14,18,86,91,0.7,0.9,0.4,0.3,0.3,1,1,1,-0.4,away_win
Liverpool,Tottenham,58,52,1.8,1.2,15,10,87,83,0.7,0.6,0.5,0.3,0.2,1,2,1,0.6,home_win
Liverpool,Barcelona,58,64,1.6,1.9,14,16,86,89,0.7,0.8,0.4,0.3,0.3,1,1,1,-0.3,away_win
Liverpool,RealMadrid,58,63,1.6,1.8,14,15,86,88,0.7,0.8,0.4,0.3,0.3,1,1,1,-0.2,draw
